cricsheet_name,games,full name,bat_role_det,bat_role,bat_h,bowl_role_det,bowl_role,bowl_h,team,other
BKG Mendis,43,Kusal Mendis,Wicketkeeper batter,batter,right,legbreak,spin,right,Sri Lanka,wk
AD Mathews,17,Angelo Mathews,Allrounder,allrounder,right,right arm medium,pace,right,Sri Lanka,
HDRL Thirimanne,9,Lahiru Thirimanne,Top order batter,batter,left,right arm medium fast,pace,right,Sri Lanka,
NLTC Perera,12,Thisara Perera,Bowling allrounder,allrounder,left,right arm medium fast,pace,right,Sri Lanka,
DM de Silva,43,Dhananjaya de Silva,Allrounder,allrounder,right,right arm offbreak,spin,right,Sri Lanka,
SL Malinga,8,Lasith Malinga,Bowler,bowler,right,right arm fast,pace,right,Sri Lanka,
N Pradeep,14,Nuwan Pradeep,Bowler,bowler,right,right arm fast medium,pace,right,Sri Lanka,
CBRLS Kumara,18,Lahiru Kumara,Bowler,bowler,left,right arm fast,pace,right,Sri Lanka,
A Dananjaya,5,Akila Dananjaya,Allrounder,allrounder,left,right arm offbreak,spin,right,Sri Lanka,legbreak
I Udana,15,Isuru Udana,Allrounder,allrounder,right,left arm medium fast,pace,left,Sri Lanka,
MD Shanaka,42,Dasun Shanaka,Allrounder,allrounder,right,right arm medium,pace,right,Sri Lanka,
GSNFG Jayasuriya,3,Shehan Jayasuriya,Batting allrounder,allrounder,left,right arm offbreak,spin,right,Sri Lanka,
PWH de Silva,39,Wanindu Hasaranga,Allrounder,allrounder,right,legbreak,spin,right,Sri Lanka,
CAK Rajitha,18,Kasun Rajitha,Bowler,bowler,right,right arm medium fast,pace,right,Sri Lanka,
BMAJ Mendis,3,Jeevan Mendis,Allrounder,allrounder,left,legbreak,spin,right,Sri Lanka,
RAS Lakmal,4,Suranga Lakmal,Bowler,bowler,right,right arm fast medium,pace,right,Sri Lanka,
TAM Siriwardana,1,Milinda Siriwardana,Allrounder,allrounder,left,slow left arm orthodox,spin,left,Sri Lanka,
JDF Vandersay,9,Jeffrey Vandersay,Bowler,bowler,right,legbreak,spin,right,Sri Lanka,
MD Gunathilaka,11,Danushka Gunathilaka,Allrounder,allrounder,left,right arm offbreak,spin,right,Sri Lanka,
S Samarawickrama,11,Sadeera Samarawickrama,Wicketkeeper batter,batter,right,,,,Sri Lanka,wk
BOP Fernando,3,Oshada Fernando,Top order batter,batter,right,legbreak,spin,right,Sri Lanka,
AK Perera,1,Angelo Perera,Allrounder,allrounder,right,slow left arm orthodox,spin,left,Sri Lanka,
M Bhanuka,6,Minod Bhanuka,Top order batter,batter,left,,,,Sri Lanka,wk
PADLR Sandakan,11,Lakshan Sandakan,Bowler,bowler,right,left arm wrist spin,spin,left,Sri Lanka,
P Nissanka,34,Pathum Nissanka,Top order batter,batter,right,,,,Sri Lanka,
LD Chandimal,11,Dinesh Chandimal,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,Sri Lanka,wk
KNA Bandara,6,Ashen Bandara,Middle order batter,batter,right,legbreak,spin,right,Sri Lanka,
PHKD Mendis,5,Kamindu Mendis,Allrounder,allrounder,left,right arm offbreak,spin,both,Sri Lanka,slow left arm orthodox
PVD Chameera,21,Dushmantha Chameera,Bowler,bowler,right,right arm fast,pace,right,Sri Lanka,
AM Fernando,4,Asitha Fernando,Bowler,bowler,right,right arm medium fast,pace,right,Sri Lanka,
PBB Rajapaksa,5,Bhanuka Rajapaksa,Top order batter,batter,left,right arm medium,pace,right,Sri Lanka,
KIC Asalanka,35,Charith Asalanka,Batting allrounder,allrounder,left,right arm offbreak,spin,right,Sri Lanka,
C Karunaratne,23,Chamika Karunaratne,Bowling allrounder,allrounder,right,right arm medium fast,pace,right,Sri Lanka,
RTM Mendis,4,Ramesh Mendis,Allrounder,allrounder,right,right arm offbreak,spin,right,Sri Lanka,
P Jayawickrama,5,Praveen Jayawickrama,Bowler,bowler,right,slow left arm orthodox,spin,left,Sri Lanka,
M Theekshana,22,Maheesh Theekshana,Bowler,bowler,right,right arm offbreak,spin,right,Sri Lanka,
N Dickwella,3,Niroshan Dickwella,Wicketkeeper batter,batter,left,,,,Sri Lanka,wk
B Fernando,4,Binura Fernando,Bowler,bowler,right,left arm medium fast,pace,left,Sri Lanka,
D Lakshan,3,Dhananjaya Lakshan,Batting allrounder,allrounder,left,right arm medium fast,pace,right,Sri Lanka,
C Gunasekara,1,Chamika Gunasekara,Bowler,bowler,right,right arm medium fast,pace,right,Sri Lanka,
DN Wellalage,9,Dunith Wellalage,Bowler,bowler,left,slow left arm orthodox,spin,left,Sri Lanka,
PM Liyanagamage,1,Pramod Madushan,Bowler,bowler,right,right arm medium fast,pace,right,Sri Lanka,
D Madushanka,6,Dilshan Madushanka,Bowler,bowler,right,left arm fast medium,pace,left,Sri Lanka,
MNK Fernando,4,Nuwanidu Fernando,Batter,batter,right,right arm offbreak,spin,right,Sri Lanka,
MADI Hemantha,2,Dushan Hemantha,Allrounder,allrounder,right,legbreak,spin,right,Sri Lanka,
M Pathirana,4,Matheesha Pathirana,Bowler,bowler,right,right arm fast,pace,right,Sri Lanka,
SSD Arachchige,2,Sahan Arachchige,Top order batter,batter,left,right arm offbreak,spin,right,Sri Lanka,
TS Kamunhukamwe,4,Tinashe Kamunhukamwe,Opening batter,batter,right,right arm offbreak,spin,right,Zimbabwe,
CJ Chibhabha,6,Chamu Chibhabha,Top order batter,batter,right,right arm medium,pace,right,Zimbabwe,
RW Chakabva,23,Regis Chakabva,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,Zimbabwe,wk
BRM Taylor,12,Brendan Taylor,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,Zimbabwe,wk
W Madhevere,36,Wessly Madhevere,Allrounder,allrounder,right,right arm offbreak,spin,right,Zimbabwe,
Sikandar Raza,39,Sikandar Raza,Batting allrounder,allrounder,right,right arm offbreak,spin,right,Zimbabwe,
R Mutumbami,3,Richmond Mutumbami,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,Zimbabwe,wk
CT Mutombodzi,3,Tinotenda Mutombodzi,Allrounder,allrounder,right,legbreak googly,spin,right,Zimbabwe,
DT Tiripano,7,Donald Tiripano,Bowler,bowler,right,right arm fast medium,pace,right,Zimbabwe,
CT Mumba,5,Carl Mumba,Allrounder,allrounder,right,right arm fast medium,pace,right,Zimbabwe,
CB Mpofu,1,Chris Mpofu,Bowler,bowler,right,right arm fast medium,pace,right,Zimbabwe,
SC Williams,25,Sean Williams,Middle order batter,batter,left,slow left arm orthodox,spin,left,Zimbabwe,
CK Tshuma,2,Charlton Tshuma,Bowler,bowler,right,right arm fast medium,pace,right,Zimbabwe,
BB Chari,3,Brian Chari,Opening batter,batter,right,right arm offbreak,spin,right,Zimbabwe,
CR Ervine,23,Craig Ervine,Middle order batter,batter,left,right arm offbreak,spin,right,Zimbabwe,
TS Chisoro,3,Tendai Chisoro,Bowler,bowler,left,slow left arm orthodox,spin,left,Zimbabwe,
R Ngarava,30,Richard Ngarava,Bowler,bowler,left,left arm fast medium,pace,left,Zimbabwe,
B Muzarabani,24,Blessing Muzarabani,Bowler,bowler,right,right arm fast medium,pace,right,Zimbabwe,
T Marumani,12,Tadiwanashe Marumani,Top order batter,batter,left,right arm offbreak,spin,right,Zimbabwe,
D Myers,5,Dion Myers,Top order batter,batter,right,right arm medium,pace,right,Zimbabwe,
RP Burl,29,Ryan Burl,Middle order batter,batter,left,legbreak,spin,right,Zimbabwe,
LM Jongwe,18,Luke Jongwe,Allrounder,allrounder,right,right arm fast medium,pace,right,Zimbabwe,
TL Chatara,17,Tendai Chatara,Bowler,bowler,right,right arm fast medium,pace,right,Zimbabwe,
T Maruma,1,Timycen Maruma,Top order batter,batter,right,legbreak googly,spin,right,Zimbabwe,
WP Masakadza,18,Wellington Masakadza,Bowler,bowler,left,slow left arm orthodox,spin,left,Zimbabwe,
M Shumba,6,Milton Shumba,Top order batter,batter,left,slow left arm orthodox,spin,left,Zimbabwe,
T Kaitano,8,Takudzwanashe Kaitano,Opening batter,batter,right,right arm offbreak,spin,right,Zimbabwe,
I Kaia,17,Innocent Kaia,Opening batter,batter,right,legbreak,spin,right,Zimbabwe,
TL Chivanga,5,Tanaka Chivanga,Bowler,bowler,right,right arm fast,pace,right,Zimbabwe,
TK Musakanda,1,Tarisai Musakanda,Top order batter,batter,right,right arm fast medium,pace,right,Zimbabwe,
VM Nyauchi,10,Victor Nyauchi,Bowler,bowler,right,right arm fast medium,pace,right,Zimbabwe,
T Munyonga,6,Tony Munyonga,Allrounder,allrounder,right,right arm offbreak,spin,right,Zimbabwe,
B Evans,15,Brad Evans,Allrounder,allrounder,right,right arm fast,pace,right,Zimbabwe,
C Madande,9,Clive Madande,Wicketkeeper batter,batter,right,,,,Zimbabwe,wk
GS Ballance,5,Gary Ballance,Middle order batter,batter,left,legbreak,spin,right,Zimbabwe,
B Mavuta,2,Brandon Mavuta,Allrounder,allrounder,right,legbreak,spin,right,Zimbabwe,
J Gumbie,7,Joylord Gumbie,Wicketkeeper batter,batter,right,,,,Zimbabwe,wk
CH Gayle,12,Chris Gayle,Allrounder,allrounder,left,right arm offbreak,spin,right,West Indies,
E Lewis,22,Evin Lewis,Opening batter,batter,left,,,,West Indies,
SD Hope,64,Shai Hope,Wicketkeeper batter,batter,right,,,,West Indies,wk
SO Hetmyer,25,Shimron Hetmyer,Top order batter,batter,left,,,,West Indies,
N Pooran,60,Nicholas Pooran,Wicketkeeper batter,batter,left,right arm offbreak,spin,right,West Indies,wk
RL Chase,26,Roston Chase,Allrounder,allrounder,right,right arm offbreak,spin,right,West Indies,
JO Holder,43,Jason Holder,Bowling allrounder,allrounder,right,right arm medium fast,pace,right,West Indies,
FA Allen,13,Fabian Allen,Bowling allrounder,allrounder,right,slow left arm orthodox,spin,left,West Indies,
CR Brathwaite,11,Carlos Brathwaite,Allrounder,allrounder,right,right arm fast medium,pace,right,West Indies,
KAJ Roach,10,Kemar Roach,Bowler,bowler,right,right arm fast medium,pace,right,West Indies,
SS Cottrell,24,Sheldon Cottrell,Bowler,bowler,right,left arm fast medium,pace,left,West Indies,
O Thomas,11,Oshane Thomas,Bowler,bowler,left,right arm fast,pace,right,West Indies,
KMA Paul,19,Keemo Paul,Allrounder,allrounder,right,right arm fast medium,pace,right,West Indies,
DM Bravo,15,Darren Bravo,Top order batter,batter,left,right arm medium,pace,right,West Indies,wk
AD Russell,4,Andre Russell,Allrounder,allrounder,right,right arm fast,pace,right,West Indies,
AR Nurse,4,Ashley Nurse,Bowler,bowler,right,right arm offbreak,spin,right,West Indies,
ST Gabriel,3,Shannon Gabriel,Bowler,bowler,right,right arm fast,pace,right,West Indies,
SW Ambris,10,Sunil Ambris,Opening batter,batter,right,,,,West Indies,
KA Pollard,22,Kieron Pollard,Batting allrounder,allrounder,right,right arm medium,pace,right,West Indies,
R Shepherd,25,Romario Shepherd,Bowling allrounder,allrounder,right,right arm fast medium,pace,right,West Indies,
HR Walsh,21,Hayden Walsh,Bowler,bowler,left,legbreak googly,spin,right,West Indies,
AS Joseph,47,Alzarri Joseph,Bowler,bowler,right,right arm fast,pace,right,West Indies,
BA King,34,Brandon King,Top order batter,batter,right,,,,West Indies,
K Pierre,3,Khary Pierre,Allrounder,allrounder,left,slow left arm orthodox,spin,left,West Indies,
JN Mohammed,8,Jason Mohammed,Middle order batter,batter,right,right arm offbreak,spin,right,West Indies,
AJ Hosein,38,Akeal Hosein,Bowler,bowler,left,slow left arm orthodox,spin,left,West Indies,
A Phillip,5,Anderson Phillip,Bowler,bowler,right,right arm fast medium,pace,right,West Indies,
J Da Silva,2,Joshua da Silva,Wicketkeeper batter,batter,right,,,,West Indies,wk
AM McCarthy,2,Andre McCarthy,Middle order batter,batter,right,right arm offbreak,spin,right,West Indies,
KR Mayers,28,Kyle Mayers,Batting allrounder,allrounder,left,right arm medium,pace,right,West Indies,
NE Bonner,6,Nkrumah Bonner,Middle order batter,batter,right,legbreak,spin,right,West Indies,
R Powell,17,Rovman Powell,Middle order batter,batter,right,right arm medium fast,pace,right,West Indies,
RA Reifer,4,Raymon Reifer,Allrounder,allrounder,left,left arm medium fast,pace,left,West Indies,
CK Holder,1,Chemar Holder,Bowler,bowler,right,right arm fast,pace,right,West Indies,
KY Ottley,2,Kjorn Ottley,Opening batter,batter,left,right arm offbreak,spin,right,West Indies,
JN Hamilton,1,Jahmar Hamilton,Wicketkeeper batter,batter,right,,,,West Indies,wk
KJ Harding,1,Keon Harding,Bowler,bowler,right,right arm fast medium,pace,right,West Indies,
JP Greaves,3,Justin Greaves,Allrounder,allrounder,right,right arm medium,pace,right,West Indies,
SSJ Brooks,29,Shamarh Brooks,Top order batter,batter,right,legbreak,spin,right,West Indies,
OF Smith,9,Odean Smith,Bowling allrounder,allrounder,right,right arm fast medium,pace,right,West Indies,
JNT Seales,10,Jayden Seales,Bowler,bowler,left,right arm fast medium,pace,right,West Indies,
G Motie,7,Gudakesh Motie,Bowler,bowler,left,slow left arm orthodox,spin,left,West Indies,
KU Carty,16,Keacy Carty,Batter,batter,right,right arm medium,pace,right,West Indies,
J Blackwood,1,Jermaine Blackwood,Middle order batter,batter,right,right arm offbreak,spin,right,West Indies,
K Sinclair,7,Kevin Sinclair,Bowler,bowler,right,right arm offbreak,spin,right,West Indies,
Y Cariah,11,Yannic Cariah,Bowler,bowler,left,legbreak,spin,right,West Indies,
SH Lewis,1,Shermon Lewis,Bowler,bowler,right,right arm fast,pace,right,West Indies,
J Charles,10,Johnson Charles,Wicketkeeper batter,batter,right,,,,West Indies,wk
A Athanaze,4,Alick Athanaze,Batting allrounder,allrounder,left,right arm offbreak,spin,right,West Indies,
DC Drakes,3,Dominic Drakes,Bowling allrounder,allrounder,left,left arm medium fast,pace,left,West Indies,
KAR Hodge,3,Kavem Hodge,Allrounder,allrounder,right,slow left arm orthodox,spin,left,West Indies,
Akeem Jordan,2,Akeem Jordan,Bowler,bowler,right,right arm fast medium,pace,right,West Indies,
PR Stirling,40,Paul Stirling,Batting allrounder,allrounder,right,right arm offbreak,spin,right,Ireland,
GJ Delany,21,Gareth Delany,Batting allrounder,allrounder,right,legbreak googly,spin,right,Ireland,
A Balbirnie,37,Andy Balbirnie,Batter,batter,right,right arm offbreak,spin,right,Ireland,
WTS Porterfield,12,William Porterfield,Batter,batter,left,right arm offbreak,spin,right,Ireland,
KJ O'Brien,11,Kevin O'Brien,Batting allrounder,allrounder,right,right arm medium fast,pace,right,Ireland,
L Tucker,39,Lorcan Tucker,Wicketkeeper batter,batter,right,,,,Ireland,wk
Simi Singh,20,Simi Singh,Bowling allrounder,allrounder,right,right arm offbreak,spin,right,Ireland,legbreak googly
MR Adair,32,Mark Adair,Bowling allrounder,allrounder,right,right arm fast medium,pace,right,Ireland,
AR McBrine,40,Andy McBrine,Bowling allrounder,allrounder,left,right arm offbreak,spin,right,Ireland,
BJ McCarthy,15,Barry McCarthy,Bowler,bowler,right,right arm fast medium,pace,right,Ireland,
WB Rankin,2,Boyd Rankin,Bowler,bowler,left,right arm fast medium,pace,right,Ireland,
JA McCollum,2,James McCollum,Opening batter,batter,right,right arm medium,pace,right,Ireland,
CA Young,26,Craig Young,Bowler,bowler,right,right arm fast medium,pace,right,Ireland,
HT Tector,38,Harry Tector,Middle order batter,batter,right,right arm offbreak,spin,right,Ireland,
C Campher,30,Curtis Campher,Allrounder,allrounder,right,right arm medium fast,pace,right,Ireland,
J Little,28,Josh Little,Bowler,bowler,right,left arm fast medium,pace,left,Ireland,
GH Dockrell,30,George Dockrell,Allrounder,allrounder,right,slow left arm orthodox,spin,left,Ireland,
SC Getkate,1,Shane Getkate,Allrounder,allrounder,right,right arm medium fast,pace,right,Ireland,
NA Rock,3,Neil Rock,Wicketkeeper batter,batter,left,,,,Ireland,wk
GI Hume,10,Graham Hume,Bowler,bowler,left,right arm fast medium,pace,right,Ireland,
ST Doheny,9,Stephen Doheny,Opening batter,batter,right,,,,Ireland,
MJ Humphreys,2,Matthew Humphreys,Bowler,bowler,right,slow left arm orthodox,spin,left,Ireland,
M Commins,2,Murray Commins,Batter,batter,left,,,,Ireland,
B White,2,Ben White,Bowler,bowler,right,legbreak,spin,right,Ireland,
SR Taylor,5,Steven Taylor,Opening batter,batter,left,right arm offbreak,spin,right,USA,
SJ Modani,6,Sushant Modani,Opening batter,batter,right,right arm offbreak,spin,right,USA,
MD Patel,4,Monank Patel,Wicketkeeper batter,batter,right,,,,USA,wk
Aaron Jones,5,Aaron Jones,Top order batter,batter,right,legbreak googly,spin,right,USA,
SR Mukkamalla,5,Saiteja Mukkamalla,Opening batter,batter,right,right arm offbreak,spin,right,USA,
G Singh,6,Gajanand Singh,Middle order batter,batter,left,right arm offbreak,spin,right,USA,
Shayan Jahangir,5,Shayan Jahangir,Batter,batter,right,right arm medium fast,pace,right,USA,
Jasdeep Singh,5,Jessy Singh,Bowler,bowler,right,right arm medium,pace,right,USA,
NP Kenjige,6,Nosthush Kenjige,Bowler,bowler,right,slow left arm orthodox,spin,left,USA,
K Phillip,2,Kyle Phillip,Bowler,bowler,right,right arm fast medium,pace,right,USA,
SN Netravalkar,5,Saurabh Netravalkar,Bowler,bowler,right,left arm fast medium,pace,left,USA,
NK Patel,5,Nisarg Patel,Allrounder,allrounder,right,slow left arm orthodox,spin,left,USA,
Ali Khan,3,Ali Khan,Bowler,bowler,right,right arm fast medium,pace,right,USA,
AA Paradkar,2,Abhishek Paradkar,Bowler,bowler,left,left arm medium,pace,left,USA,
Usman Rafiq,2,Usman Rafiq,Bowler,bowler,right,right arm offbreak,spin,right,USA,
K Bhurtel,6,Kushal Bhurtel,Opening batter,batter,right,legbreak googly,spin,right,Nepal,
Aasif Sheikh,4,Aasif Sheikh,Wicketkeeper batter,batter,right,,,,Nepal,wk
Kushal Malla,5,Kushal Malla,Batting allrounder,allrounder,left,slow left arm orthodox,spin,left,Nepal,
RK Paudel,6,Rohit Paudel,Batting allrounder,allrounder,right,right arm offbreak,spin,right,Nepal,
Aarif Sheikh,5,Aarif Sheikh,Top order batter,batter,right,right arm medium,pace,right,Nepal,
Gulsan Jha,6,Gulsan Jha,Bowler,bowler,left,right arm medium,pace,right,Nepal,
DS Airee,6,Dipendra Singh Airee,Middle order batter,batter,right,right arm medium,pace,right,Nepal,
B Sharki,6,Bhim Sharki,Middle order batter,batter,right,right arm offbreak,spin,right,Nepal,
Karan KC,6,Karan KC,Allrounder,allrounder,right,right arm fast,pace,right,Nepal,
Sompal Kami,1,Sompal Kami,Bowling allrounder,allrounder,right,right arm fast medium,pace,right,Nepal,
S Lamichhane,6,Sandeep Lamichhane,Bowler,bowler,right,legbreak googly,spin,right,Nepal,
LN Rajbanshi,3,Lalit Rajbanshi,Bowler,bowler,right,slow left arm orthodox,spin,left,Nepal,
A Saud,2,Arjun Saud,Wicketkeeper batter,batter,right,,,,Nepal,wk
G Malla,2,Gyanendra Malla,Top order batter,batter,right,,,,Nepal,
Pratis GC,1,Pratis GC,Bowling allrounder,allrounder,right,left arm medium,pace,left,Nepal,
K Mahato,1,Kishore Mahato,Bowler,bowler,right,right arm medium fast,pace,right,Nepal,
MJ Guptill,29,Martin Guptill,Opening batter,batter,right,right arm offbreak,spin,right,New Zealand,
C Munro,6,Colin Munro,Opening batter,batter,left,right arm medium fast,pace,right,New Zealand,
KS Williamson,22,Kane Williamson,Top order batter,batter,right,right arm offbreak,spin,right,New Zealand,
LRPL Taylor,18,Ross Taylor,Middle order batter,batter,right,right arm offbreak,spin,right,New Zealand,
TWM Latham,45,Tom Latham,Wicketkeeper batter,batter,left,right arm medium,pace,right,New Zealand,wk
JDS Neesham,24,James Neesham,Batting allrounder,allrounder,left,right arm medium fast,pace,right,New Zealand,
C de Grandhomme,17,Colin de Grandhomme,Allrounder,allrounder,right,right arm medium fast,pace,right,New Zealand,
MJ Santner,34,Mitchell Santner,Bowling allrounder,allrounder,left,slow left arm orthodox,spin,left,New Zealand,
MJ Henry,29,Matt Henry,Bowler,bowler,right,right arm fast medium,pace,right,New Zealand,
LH Ferguson,26,Lockie Ferguson,Bowler,bowler,right,right arm fast,pace,right,New Zealand,
TA Boult,20,Trent Boult,Bowler,bowler,right,left arm fast medium,pace,left,New Zealand,
HM Nicholls,25,Henry Nicholls,Top order batter,batter,left,right arm offbreak,spin,right,New Zealand,
IS Sodhi,16,Ish Sodhi,Bowler,bowler,right,legbreak,spin,right,New Zealand,
TG Southee,15,Tim Southee,Bowler,bowler,right,right arm medium fast,pace,right,New Zealand,
TA Blundell,6,Tom Blundell,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,New Zealand,wk
HK Bennett,3,Hamish Bennett,Bowler,bowler,left,right arm medium fast,pace,right,New Zealand,
MS Chapman,7,Mark Chapman,Allrounder,allrounder,left,slow left arm orthodox,spin,left,New Zealand,
KA Jamieson,8,Kyle Jamieson,Bowler,bowler,right,right arm fast medium,pace,right,New Zealand,
DP Conway,18,Devon Conway,Wicketkeeper batter,batter,left,right arm medium,pace,right,New Zealand,wk
WA Young,15,Will Young,Top order batter,batter,right,right arm offbreak,spin,right,New Zealand,
DJ Mitchell,25,Daryl Mitchell,Batting allrounder,allrounder,right,right arm medium,pace,right,New Zealand,
MG Bracewell,19,Michael Bracewell,Batting allrounder,allrounder,left,right arm offbreak,spin,right,New Zealand,
BM Tickner,13,Blair Tickner,Bowler,bowler,right,right arm medium fast,pace,right,New Zealand,
DAJ Bracewell,2,Doug Bracewell,Bowler,bowler,right,right arm fast medium,pace,right,New Zealand,
FH Allen,18,Finn Allen,Top order batter,batter,right,,,,New Zealand,wk
GD Phillips,16,Glenn Phillips,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,New Zealand,wk
JA Duffy,3,Jacob Duffy,Bowler,bowler,right,right arm fast medium,pace,right,New Zealand,
D Cleaver,1,Dane Cleaver,Wicketkeeper batter,batter,right,legbreak,spin,right,New Zealand,wk
